Best Val IoU: 0.5249
Total Epochs: 60

  Ep       Loss     ValIoU           LR
----------------------------------------
   1     0.7375     0.2895     9.99e-04
   2     0.6132     0.3473     9.97e-04
   3     0.5739     0.3704     9.94e-04
   4     0.5520     0.3980     9.89e-04
   5     0.5400     0.4083     9.83e-04
   6     0.5291     0.4063     9.76e-04
   7     0.5238     0.4280     9.67e-04
   8     0.5191     0.4108     9.57e-04
   9     0.5115     0.4344     9.46e-04
  10     0.5056     0.4347     9.33e-04
  11     0.4982     0.4540     9.19e-04
  12     0.4950     0.4525     9.05e-04
  13     0.4893     0.4463     8.89e-04
  14     0.4868     0.4625     8.72e-04
  15     0.4842     0.4335     8.54e-04
  16     0.4819     0.4582     8.35e-04
  17     0.4755     0.4683     8.15e-04
  18     0.4698     0.4705     7.94e-04
  19     0.4676     0.4642     7.73e-04
  20     0.4663     0.4659     7.50e-04
  21     0.4649     0.4744     7.27e-04
  22     0.4530     0.4897     7.04e-04
  23     0.4263     0.4926     6.80e-04
  24     0.4198     0.4921     6.55e-04
  25     0.4169     0.4817     6.30e-04
  26     0.4147     0.4876     6.04e-04
  27     0.4133     0.5028     5.79e-04
  28     0.4110     0.4790     5.53e-04
  29     0.4099     0.5026     5.27e-04
  30     0.4074     0.5057     5.01e-04
  31     0.4069     0.5160     4.74e-04
  32     0.4061     0.4966     4.48e-04
  33     0.4058     0.5050     4.22e-04
  34     0.4030     0.5111     3.97e-04
  35     0.4034     0.5167     3.71e-04
  36     0.4000     0.4994     3.46e-04
  37     0.4006     0.5048     3.21e-04
  38     0.3986     0.5066     2.97e-04
  39     0.3942     0.5144     2.74e-04
  40     0.3937     0.5195     2.51e-04
  41     0.3935     0.5102     2.28e-04
  42     0.3920     0.5188     2.07e-04
  43     0.3906     0.5186     1.86e-04
  44     0.3904     0.5206     1.66e-04
  45     0.3895     0.5214     1.47e-04
  46     0.3878     0.5235     1.29e-04
  47     0.3873     0.5171     1.12e-04
  48     0.3883     0.5184     9.64e-05
  49     0.3871     0.5217     8.16e-05
  50     0.3872     0.5223     6.79e-05
  51     0.3861     0.5174     5.54e-05
  52     0.3858     0.5217     4.42e-05
  53     0.3862     0.5180     3.42e-05
  54     0.3866     0.5187     2.54e-05
  55     0.3843     0.5174     1.80e-05
  56     0.3847     0.5186     1.19e-05
  57     0.3851     0.5199     7.15e-06
  58     0.3853     0.5234     3.74e-06
  59     0.3850     0.5249     1.68e-06
  60     0.3858     0.5246     1.00e-06
